qubit_id,epoch_number,t1,t2,readout_error,single_gate_error,two_gate_error,frequency,temperature,noise_drift,drift_rate,backend_status,backend_name,timestamp,version,is_deleted,t1_base,t2_base,frequency_base,readout_base,single_gate_base,qhi,run_id
Q0,0,120.0,90.0,0.01,0.002,0.01,4.9,15.0,0.0,0.0,Active,TwinQ_Math_Simulator_5Q,2026-08-17T16:08:44.204702+00:00,1,False,120.0,90.0,4.9,0.01,0.002,0.9964000000000001,"Run - Aug 17, 2026 at 21:38:16"
Q1,0,135.0,100.0,0.012,0.0025,0.01,4.95,15.0,0.0,0.0,Active,TwinQ_Math_Simulator_5Q,2026-08-17T16:08:44.424138+00:00,1,False,135.0,100.0,4.95,0.012,0.0025,0.99565,"Run - Aug 17, 2026 at 21:38:16"
Q2,0,150.0,110.0,0.014,0.003,0.01,5.0,15.0,0.0,0.0,Active,TwinQ_Math_Simulator_5Q,2026-08-17T16:08:44.430962+00:00,1,False,150.0,110.0,5.0,0.014,0.003,0.9948999999999999,"Run - Aug 17, 2026 at 21:38:16"
Q3,0,165.0,120.0,0.016,0.0035,0.01,5.050000000000001,15.0,0.0,0.0,Active,TwinQ_Math_Simulator_5Q,2026-08-17T16:08:44.438981+00:00,1,False,165.0,120.0,5.050000000000001,0.016,0.0035,0.9941500000000001,"Run - Aug 17, 2026 at 21:38:16"
Q4,0,180.0,130.0,0.018000000000000002,0.004,0.01,5.1000000000000005,15.0,0.0,0.0,Active,TwinQ_Math_Simulator_5Q,2026-08-17T16:08:44.444512+00:00,1,False,180.0,130.0,5.1000000000000005,0.018000000000000002,0.004,0.9934000000000001,"Run - Aug 17, 2026 at 21:38:16"
Q5,0,195.0,140.0,0.02,0.0045000000000000005,0.01,5.15,15.0,0.0,0.0,Active,TwinQ_Math_Simulator_5Q,2026-08-17T16:08:44.450519+00:00,1,False,195.0,140.0,5.15,0.02,0.0045000000000000005,0.99265,"Run - Aug 17, 2026 at 21:38:16"
Q6,0,210.0,150.0,0.022,0.005,0.01,5.2,15.0,0.0,0.0,Active,TwinQ_Math_Simulator_5Q,2026-08-17T16:08:44.456900+00:00,1,False,210.0,150.0,5.2,0.022,0.005,0.9919,"Run - Aug 17, 2026 at 21:38:16"
Q7,0,225.0,160.0,0.024,0.0055,0.01,5.25,15.0,0.0,0.0,Active,TwinQ_Math_Simulator_5Q,2026-08-17T16:08:44.460894+00:00,1,False,225.0,160.0,5.25,0.024,0.0055,0.9911500000000001,"Run - Aug 17, 2026 at 21:38:16"
Q8,0,240.0,170.0,0.026000000000000002,0.006,0.01,5.300000000000001,15.0,0.0,0.0,Active,TwinQ_Math_Simulator_5Q,2026-08-17T16:08:44.469044+00:00,1,False,240.0,170.0,5.300000000000001,0.026000000000000002,0.006,0.9904,"Run - Aug 17, 2026 at 21:38:16"
Q9,0,255.0,180.0,0.028000000000000004,0.006500000000000001,0.01,5.3500000000000005,15.0,0.0,0.0,Active,TwinQ_Math_Simulator_5Q,2026-08-17T16:08:44.476043+00:00,1,False,255.0,180.0,5.3500000000000005,0.028000000000000004,0.006500000000000001,0.9896499999999999,"Run - Aug 17, 2026 at 21:38:16"
Q10,0,270.0,190.0,0.03,0.007,0.01,5.4,15.0,0.0,0.0,Active,TwinQ_Math_Simulator_5Q,2026-08-17T16:08:44.478554+00:00,1,False,270.0,190.0,5.4,0.03,0.007,0.9889000000000001,"Run - Aug 17, 2026 at 21:38:16"
Q11,0,285.0,200.0,0.032,0.0075,0.01,5.45,15.0,0.0,0.0,Active,TwinQ_Math_Simulator_5Q,2026-08-17T16:08:44.485575+00:00,1,False,285.0,200.0,5.45,0.032,0.0075,0.9881500000000001,"Run - Aug 17, 2026 at 21:38:16"
Q12,0,300.0,210.0,0.034,0.008,0.01,5.5,15.0,0.0,0.0,Active,TwinQ_Math_Simulator_5Q,2026-08-17T16:08:44.490569+00:00,1,False,300.0,210.0,5.5,0.034,0.008,0.9873999999999999,"Run - Aug 17, 2026 at 21:38:16"
