epoch_number,algorithm,mapping,swaps,estimated_fidelity,timestamp
1,QHI_Greedy,"{'1': 0, '0': 1, '2': 2}",0,0.9641921226631696,2026-07-03T15:07:59.230229+00:00
2,QHI_Greedy,"{'1': 0, '0': 1, '2': 2}",0,0.9639585470735461,2026-07-03T15:08:00.391373+00:00
3,QHI_Greedy,"{'1': 0, '0': 1, '2': 2}",0,0.9640191001048866,2026-07-03T15:08:01.223088+00:00
4,QHI_Greedy,"{'1': 0, '0': 1, '2': 2}",0,0.9640157656684956,2026-07-03T15:08:02.136559+00:00
5,QHI_Greedy,"{'1': 0, '0': 1, '2': 2}",0,0.9639978244588796,2026-07-03T15:08:02.970766+00:00
6,QHI_Greedy,"{'1': 0, '0': 1, '2': 2}",0,0.9639772730149808,2026-07-03T15:08:03.926321+00:00
7,QHI_Greedy,"{'1': 0, '0': 1, '2': 2}",0,0.9639507256482236,2026-07-03T15:08:04.974841+00:00
8,QHI_Greedy,"{'1': 0, '0': 1, '2': 2}",0,0.9639153672293183,2026-07-03T15:08:05.802038+00:00
9,QHI_Greedy,"{'1': 0, '0': 1, '2': 2}",0,0.9638755313446745,2026-07-03T15:08:07.182884+00:00
10,QHI_Greedy,"{'1': 0, '0': 1, '2': 2}",0,0.9638348883258057,2026-07-03T15:08:08.132954+00:00
11,QHI_Greedy,"{'1': 0, '0': 1, '2': 2}",0,0.9638096487676605,2026-07-03T15:08:09.527181+00:00
12,QHI_Greedy,"{'1': 0, '0': 1, '2': 2}",0,0.9637530623921954,2026-07-03T15:08:10.745204+00:00
13,QHI_Greedy,"{'1': 0, '0': 1, '2': 2}",0,0.963702233273547,2026-07-03T15:08:11.991906+00:00
14,QHI_Greedy,"{'1': 0, '0': 1, '2': 2}",0,0.96364890133084,2026-07-03T15:08:13.115012+00:00
15,QHI_Greedy,"{'1': 0, '0': 1, '2': 2}",0,0.9635945331250803,2026-07-03T15:08:14.023708+00:00
16,QHI_Greedy,"{'1': 0, '0': 1, '2': 2}",0,0.963541487177374,2026-07-03T15:08:14.871069+00:00
17,QHI_Greedy,"{'1': 0, '0': 1, '2': 2}",0,0.9634687346979067,2026-07-03T15:08:15.889863+00:00
18,QHI_Greedy,"{'1': 0, '0': 1, '2': 2}",0,0.9634135288433572,2026-07-03T15:08:16.795519+00:00
